Well,528/20,590/20
A1,880
B1,3384
C1,6826
D1,931
E1,978
F1,968
G1,1
H1,1
A2,928
B2,3793
C2,6370
D2,3
E2,2
F2,1
G2,1
H2,2
A3,916
B3,5317
C3,10104
D3,2
E3,0
F3,1
G3,1
H3,1
A4,916
B4,3778
C4,7420
D4,2
E4,3
F4,2
G4,1
H4,1
A5,941
B5,1413
C5,1868
D5,1
E5,2
F5,2
G5,2
H5,1
A6,953
B6,4340
C6,8168
D6,3
E6,2
F6,2
G6,3
H6,3
A7,947
B7,2134
C7,3514
D7,1
E7,1
F7,1
G7,2
H7,2
A8,966
B8,1937
C8,2921
D8,1
E8,2
F8,1
G8,3
H8,2
A9,950
B9,1167
C9,1687
D9,1
E9,1
F9,1
G9,0
H9,1
A10,977
B10,2535
C10,4310
D10,2
E10,1
F10,0
G10,2
H10,1
A11,1285
B11,2539
C11,4184
D11,1
E11,0
F11,2
G11,0
H11,0
A12,927
B12,3635
C12,6233
D12,2
E12,2
F12,2
G12,1
H12,2

