group_number,1_1,1_2,1_3,2_1,2_2,2_3,2_4,3_1,3_2,3_3,4_1,4_2,4_3,4_4,,,,,,,,,,,,,
crab_number,10,70,80,20,50,60,21,30,90,100,40,69,67,99,crab_number,10,70,80,20,50,60,30,90,100,40,69,67
lab_1,0.44,1.24,1.9,2.31,6.44,1.39,n/a,2.1,1.55,0.43,0.36,1.53,0.56,n/a,,,,,,,,,,,,,
lab_2,1.28,0.56,1.38,3.56,n/a,3.08,2.55,3.41,0.83,1.08,0.54,0.78,n/a,0.31,,,,,,,,,,,,,
lab_3,,,,,,,,,,,,,,,,,,,,,,,,,,,
