lab,group number,time (s)
1,1_1,0.44
1,1_2,1.24
1,1_3,1.9
1,2_1,2.31
1,2_2,6.44
1,2_3,1.39
1,3_1,2.1
1,3_2,1.55
1,3_3,0.43
1,4_1,0.36
1,4_2,1.53
1,4_3,0.56
2,1_1,1.28
2,1_2,0.56
2,1_3,1.38
2,2_1,3.56
2,2_3,3.08
2,2_4,2.55
2,3_1,3.41
2,3_2,0.83
2,3_3,1.08
2,4_1,0.54
2,4_2,0.78
2,4_4,0.31
